rcept_no,discloser,chaebol,industry,own_car,chaebol_peer_car,chaebol_peer_n,industry_peer_car,industry_peer_n,unrelated_car,unrelated_n,surprise_yoy
20221026800005,SK하이닉스,SK,Semiconductor/Electronics,-0.2205,3.6494140541966633,2,-0.01681659760311427,2,0.2087801216172626,24,-60.3
20220727800007,SK하이닉스,SK,Semiconductor/Electronics,-0.604,-0.9516533175411194,2,0.6459322708653672,2,-0.37921131017552073,24,55.6
20220427800011,SK하이닉스,SK,Semiconductor/Electronics,-1.1561,-1.8021338031890604,2,-1.1064710782952596,2,1.6922949342163962,24,115.9
20220128800072,SK하이닉스,SK,Semiconductor/Electronics,4.299,-2.1529115417833995,2,-1.146791348627516,2,-0.12332639763667923,24,340.0
20211026800048,SK하이닉스,SK,Semiconductor/Electronics,1.0551,-1.2360563438536696,2,1.0552211459929943,2,-0.38846132246449283,24,220.4
20210727800033,SK하이닉스,SK,Semiconductor/Electronics,-1.0897,0.6025906565203245,2,1.6751278134987677,2,0.706679803640359,24,38.3
20210428800041,SK하이닉스,SK,Semiconductor/Electronics,-2.6479,-1.974514830948631,2,-1.396002005447353,2,1.3503129584602032,24,65.5
20210129800006,SK하이닉스,SK,Semiconductor/Electronics,2.6185,7.047167487455532,2,-0.8455378351143878,2,-0.326547444402644,24,298.3
20201104800026,SK하이닉스,SK,Semiconductor/Electronics,1.6134,0.3782902071906208,2,-0.08384855320744436,2,-1.133055836359083,24,175.0
20200723800037,SK하이닉스,SK,Semiconductor/Electronics,-0.402,-1.3594356759230628,2,-0.7753149714059786,2,-0.07482955264084068,24,205.3
20200423800085,SK하이닉스,SK,Semiconductor/Electronics,-2.5293,-0.11447381047833893,2,-2.133879829345664,2,0.1591695862445929,24,-41.4
20200131800003,SK하이닉스,SK,Semiconductor/Electronics,0.8177,0.20937433447447729,2,0.958859760879445,2,-0.7420401149974015,24,-94.7
20260303800605,현대차,Hyundai,Auto,,-23.285471581790887,2,,0,-16.49369120405205,26,
20260202801081,현대차,Hyundai,Auto,0.8579,-1.2620730598794727,2,,0,-0.5146244726544023,26,
20260129800342,현대차,Hyundai,Auto,6.2326,0.15670019831003262,2,,0,-1.3477997756991693,26,-39.9
20260105800378,현대차,Hyundai,Auto,-1.4216,-4.627329058734564,2,,0,-1.665466290980639,26,
20260105800384,현대차,Hyundai,Auto,-1.4216,-4.627329058734564,2,,0,-1.665466290980639,26,
20251201800598,현대차,Hyundai,Auto,-2.5185,0.7420093049638156,2,,0,0.17063382237635402,26,
20251103800382,현대차,Hyundai,Auto,-2.2672,-5.804823546841635,2,,0,0.7885090185951742,26,
20251030800331,현대차,Hyundai,Auto,2.5725,2.6743951548836904,2,,0,-1.8118490440798485,26,-29.1
20251001800514,현대차,Hyundai,Auto,-0.6794,-2.152090161177838,2,,0,-2.211406497737051,26,
20250901800724,현대차,Hyundai,Auto,1.5794,1.8753017442393927,2,,0,0.07550415512151296,26,
20250801800642,현대차,Hyundai,Auto,2.4748,1.641543812674017,2,,0,0.1974291437581577,26,
